City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
61,Yumen,40.2833,97.2,19.74,55,100,9.98,CN,2022-02-07 04:43:26,Clouds
62,Kaitangata,-46.2817,169.8464,58.93,80,32,7.34,NZ,2022-02-07 04:51:18,Clouds
63,Nelson Bay,-32.7167,152.15,77.29,63,36,4.0,AU,2022-02-07 04:51:18,Clouds
64,Atuona,-9.8,-139.0333,78.85,78,42,18.12,PF,2022-02-07 04:51:19,Clouds
65,Puerto Ayora,-0.7393,-90.3518,73.54,94,21,7.36,EC,2022-02-07 04:51:20,Clouds
66,Puerto Cabello,10.4731,-68.0125,76.08,88,79,10.07,VE,2022-02-07 04:51:20,Clouds
67,Narsaq,60.9167,-46.05,9.63,76,100,20.04,GL,2022-02-07 04:51:21,Snow
68,Fortuna,40.5982,-124.1573,44.98,96,100,8.05,US,2022-02-07 04:51:21,Clouds
69,Kaele,10.1092,14.4508,67.33,20,0,10.96,CM,2022-02-07 04:51:22,Clear
70,Butaritari,3.0707,172.7902,81.79,76,58,15.86,KI,2022-02-07 04:51:22,Rain
71,Tasiilaq,65.6145,-37.6368,16.7,57,100,63.1,GL,2022-02-07 04:51:23,Snow
72,Ponta Do Sol,32.6667,-17.1,63.23,68,10,9.8,PT,2022-02-07 04:51:23,Clear
73,East London,-33.0153,27.9116,68.94,100,0,3.44,ZA,2022-02-07 04:51:24,Clear
74,Saint-Georges,12.0564,-61.7485,80.28,74,75,14.97,GD,2022-02-07 04:49:22,Clouds
75,Busselton,-33.65,115.3333,68.09,42,49,20.54,AU,2022-02-07 04:51:25,Clouds
76,Avarua,-21.2078,-159.775,78.85,83,40,11.5,CK,2022-02-07 04:51:13,Clouds
77,Chiredzi,-21.05,31.6667,69.44,81,27,7.14,ZW,2022-02-07 04:51:25,Clouds
78,Bengkulu,-3.8004,102.2655,84.24,63,95,12.01,ID,2022-02-07 04:49:17,Rain
79,La Primavera,5.4906,-70.4092,81.91,50,90,4.52,CO,2022-02-07 04:51:26,Clouds
80,Caranavi,-15.8167,-67.55,60.89,99,100,2.08,BO,2022-02-07 04:51:26,Clouds
81,Ribeira Grande,38.5167,-28.7,60.85,83,10,17.63,PT,2022-02-07 04:50:19,Clear
82,Hilo,19.7297,-155.09,69.8,93,76,1.99,US,2022-02-07 04:51:27,Clouds
83,Dikson,73.5069,80.5464,-12.95,96,100,16.55,RU,2022-02-07 04:51:28,Clouds
84,Mosquera,4.7059,-74.2302,55.49,94,75,0.0,CO,2022-02-07 04:51:28,Clouds
85,Ahipara,-35.1667,173.1667,75.24,96,98,6.33,NZ,2022-02-07 04:51:29,Clouds
86,New Norfolk,-42.7826,147.0587,80.65,28,0,4.0,AU,2022-02-07 04:51:29,Clear
87,Gogrial,8.5332,28.1004,63.86,24,36,5.64,SS,2022-02-07 04:51:30,Clouds
88,Gat,31.61,34.7642,54.39,100,7,6.64,IL,2022-02-07 04:51:30,Clear
89,Komsomolskiy,40.4272,71.7189,38.62,87,75,6.91,UZ,2022-02-07 04:41:47,Clouds
90,Kawalu,-7.3817,108.2082,79.77,75,100,3.74,ID,2022-02-07 04:51:31,Rain
91,Kathu,7.9178,98.3332,92.62,67,97,3.42,TH,2022-02-07 04:51:31,Clouds
92,Vila Velha,-20.3297,-40.2925,78.75,90,40,8.01,BR,2022-02-07 04:52:32,Clouds
93,Torrington,41.8007,-73.1212,24.75,85,15,0.63,US,2022-02-07 04:52:32,Clouds
94,Poum,-20.2333,164.0167,81.1,87,100,28.74,NC,2022-02-07 04:52:33,Rain
95,Kahului,20.8947,-156.47,75.22,62,0,20.71,US,2022-02-07 04:52:33,Clear
96,Port Hedland,-20.3167,118.5667,82.45,83,100,12.66,AU,2022-02-07 04:50:21,Rain
97,Hurricane,37.1753,-113.2899,48.67,44,0,8.55,US,2022-02-07 04:52:34,Clear
98,Palauig,15.435,119.9045,84.69,61,35,2.84,PH,2022-02-07 04:52:34,Clouds
99,La Ronge,55.1001,-105.2842,12.45,92,40,6.91,CA,2022-02-07 04:52:35,Clouds
100,Wasilla,61.5814,-149.4394,27.93,89,100,0.0,US,2022-02-07 04:52:35,Snow
101,Atchison,39.563,-95.1216,34.39,77,0,4.63,US,2022-02-07 04:52:36,Clear
102,Opuwo,-18.0607,13.84,67.96,49,99,4.9,NA,2022-02-07 04:52:36,Clouds
103,Itanhaem,-24.1831,-46.7889,79.25,88,80,7.78,BR,2022-02-07 04:52:37,Clouds
104,Panaba,21.2833,-88.2667,68.47,94,13,6.35,MX,2022-02-07 04:52:37,Clouds
105,Sawakin,19.1059,37.3321,67.98,61,47,12.73,SD,2022-02-07 04:52:38,Clouds
106,Sidney,-33.8679,151.2073,74.32,77,75,7.0,AU,2022-02-07 04:50:35,Rain
107,Naze,28.3667,129.4833,56.32,58,100,6.6,JP,2022-02-07 04:52:39,Clouds
108,Yevpatoriya,45.1972,33.3558,43.84,82,51,19.75,UA,2022-02-07 04:52:39,Clouds
109,Vestmannaeyjar,63.4427,-20.2734,37.29,96,100,64.13,IS,2022-02-07 04:52:40,Clouds
110,Aklavik,68.2191,-135.0107,-23.08,88,100,19.46,CA,2022-02-07 04:52:40,Clouds
111,Bartica,6.4,-58.6167,75.52,99,100,1.19,GY,2022-02-07 04:52:41,Clouds
112,Yellowknife,62.456,-114.3525,-3.71,90,0,0.0,CA,2022-02-07 04:52:41,Clear
113,Grand-Santi,4.25,-54.3833,72.1,100,100,1.41,GF,2022-02-07 04:52:42,Clouds
114,Port Elizabeth,-33.918,25.5701,66.49,88,0,2.3,ZA,2022-02-07 04:51:38,Clear
115,Praia,14.9215,-23.5087,66.74,82,20,11.5,CV,2022-02-07 04:52:43,Clouds
