City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
347,Teknaf,BD,74.39,Clouds,20.8624,92.3058,Forestry Guesthouse
349,Omboue,GA,76.69,Clouds,-1.5746,9.2618,Hotel Olako
353,Pauini,BR,73.83,Clouds,-7.7136,-66.9764,Casa do Kiwliks
358,Bubaque,GW,76.17,Clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
361,Paita,PE,71.96,Clouds,-5.0892,-81.1144,Hotel Náutico de Paita
363,Faanui,PF,81.3,Clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
371,Grand Gaube,MU,81.37,Clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
372,Bairnsdale,AU,72.46,Clear,-37.8333,147.6167,Town Central Motel
374,Monrovia,LR,76.8,Rain,6.3005,-10.7969,Sunset Inn
376,Port-Gentil,GA,79.65,Clouds,-0.7193,8.7815,Fengshui Residence
379,Prabumulih,ID,88.29,Clouds,-3.45,104.25,OYO 2722 Lemon Residence Prabumulih
381,Paulo Afonso,BR,73.94,Clouds,-9.4061,-38.2147,Pousada Ilha Bela
382,Sechura,PE,72.43,Clouds,-5.5569,-80.8222,Hospedaje Costa Bella
386,Moyamba,SL,71.1,Clouds,8.1667,-12.4333,Sarah Jalloh Guest House
391,Monte Patria,CL,70.32,Clear,-30.6919,-70.9467,Hotel Monte Cordillera
392,Acajutla,SV,79.81,Clouds,13.5928,-89.8275,Laureles
395,Comodoro Rivadavia,AR,70.25,Clear,-45.8667,-67.5,Austral Hotel
396,Kinablangan,PH,80.78,Clouds,7.6947,126.5503,Morales Eatery and Lodging House
397,Alugan,PH,80.53,Clouds,12.2188,125.4808,JM Lodge
399,Innisfail,AU,86.22,Clouds,-17.5333,146.0333,Moondarra Motel
401,Mount Gambier,AU,86.77,Clear,-37.8333,140.7667,The Commodore
405,San Andres,CO,79.45,Clear,12.5847,-81.7006,Hotel Arena Blanca
409,Guatire,VE,75.2,Clouds,10.4762,-66.5427,Parque Residencial Canaima I
424,Biloela,AU,82.17,Clouds,-24.4167,150.5,Biloela Silo Motor Inn
429,Pontianak,ID,85.98,Clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
431,Chicama,PE,71.22,Clouds,-7.8447,-79.1469,Balihai Bungalows
432,Itacoatiara,BR,73.76,Clouds,-3.1431,-58.4442,BBB Rooms Centro Itacoatiara AM
433,Nhulunbuy,AU,88.41,Clouds,-12.2333,136.7667,East Arnhem Real Estate
435,Bonthe,SL,76.12,Clouds,7.5264,-12.505,Bonthe Holiday Village
441,Sola,VU,82.2,Rain,-13.8833,167.55,Leumerus Bungalows
448,The Valley,AI,77.09,Clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
450,Puerto Baquerizo Moreno,EC,73.17,Clear,-0.9,-89.6,Hotel los Algarrobos
452,Sinnamary,GF,76.71,Clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
471,Inhambane,MZ,78.8,Clouds,-23.865,35.3833,Oceano
475,Ambilobe,MG,79.12,Clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
476,Sibu,MY,74.88,Clouds,2.3,111.8167,RH HOTEL (4 Star)
477,Arecibo,PR,74.01,Rain,18.4724,-66.7157,Atlantic Sand Oasis
480,Port Macquarie,AU,72.9,Clouds,-31.4333,152.9167,Rydges Port Macquarie
482,Kudahuvadhoo,MV,81.45,Clouds,2.6708,72.8944,Niyama Private Islands Maldives
484,Natal,BR,77.79,Clear,-5.795,-35.2094,Villa Park Hotel | Natal
486,Porto Novo,BJ,75.09,Clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
489,Auki,SB,83.52,Clouds,-8.7676,160.7034,Auki Motel
492,Alofi,NU,80.49,Clouds,-19.0595,-169.9187,Taloa Heights
493,Port Lincoln,AU,79.57,Clear,-34.7333,135.8667,Port Lincoln Hotel
495,Panama City,PA,76.42,Clouds,8.9936,-79.5197,Riande Urban Hotel
502,Camana,PE,70.84,Clouds,-16.6228,-72.7111,Hostal Morales
503,Port Keats,AU,87.49,Clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
505,Luganville,VU,84.34,Rain,-15.5333,167.1667,The Espiritu Hotel
507,Burnie,AU,71.94,Clear,-41.0667,145.9167,Beachfront Voyager Motor Inn
509,Kirakira,SB,84.69,Clouds,-10.4544,161.9205,SanBiz Lodge
514,Santa Cruz,BO,76.28,Clouds,-17.8,-63.1667,Aviador Hotel Boutique
515,Baracoa,CU,73.69,Clouds,20.3467,-74.4958,Hostal Rio Miel
516,Mae Ramat,TH,88.05,Clouds,16.984,98.5166,บ้านโฮ่งโฮมสเตย์ แม่ระมาด ตาก
517,Mogadishu,SO,78.08,Clouds,2.0371,45.3438,Hotel Juba
521,Buluang,PH,83.71,Clouds,13.3068,123.3425,Enon Beach Resort
522,Kailua,US,75.18,Clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
534,Warnes,BO,75.69,Clouds,-17.5,-63.1667,Tokame Motel
536,Dhidhdhoo,MV,80.46,Clouds,6.8833,73.1,Dhidhoo beach
538,Marovoay,MG,86.14,Rain,-16.1,46.6333,Hôtel les Oliviers Marovoay
539,Pochutla,MX,76.82,Clear,15.7432,-96.4661,Hotel Posada San Jose
544,Honiara,SB,85.23,Clouds,-9.4333,159.95,Heritage Park Hotel
545,San Policarpo,PH,80.71,Clouds,12.1791,125.5072,Agapita M. Nicart
549,Hoi An,VN,82.36,Clouds,15.8794,108.335,Belle Maison Hadana Hoi An managed by H&K Hospitality
552,San-Pedro,CI,78.26,Clouds,4.7485,-6.6363,Hotel Maria
553,Saint-Pierre,RE,82.08,Clear,-21.3393,55.4781,Lindsey Hôtel
554,Miri,MY,83.17,Clouds,4.4148,114.0089,"Mega Hotel, Miri"
555,Ciudad Bolivar,VE,76.59,Clouds,8.1222,-63.5497,Hotel Edi
557,Laguna De Perlas,NI,74.46,Clear,12.3429,-83.6712,Hotel Best View
560,Mitsamiouli,KM,82.06,Rain,-11.3847,43.2844,Foyer ADM
563,Sao Jose Da Coroa Grande,BR,79.3,Clouds,-8.8978,-35.1478,Crôa Mares Hotel
565,Springbok,ZA,72.43,Clear,-29.6643,17.8865,Undulata Country Lodge
569,Manta,EC,74.98,Clouds,-0.95,-80.7333,Balandra Hotel
572,Hobyo,SO,78.35,Clouds,5.3505,48.5268,Halane Hotel and Restaurent
575,Marakkanam,IN,80.56,Clouds,12.2,79.95,Samvasa by the Sea
576,Cururupu,BR,74.39,Clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
577,Namatanai,PG,85.01,Clouds,-3.6667,152.4333,Seagulls Inn Namatani
579,Tevaitoa,PF,81.07,Rain,-16.7833,-151.5,Hôtel Raiatea Lodge
586,Ahuimanu,US,74.91,Clouds,21.4447,-157.8378,Paradise Bay Resort
587,Kieta,PG,85.6,Rain,-6.2167,155.6333,Uruna Bay Retreat
588,Calvinia,ZA,74.48,Clear,-31.4707,19.776,Die Lemoenhuis
592,Eyl,SO,77.2,Clouds,7.9803,49.8164,Amiin Hotel
595,Warrnambool,AU,87.82,Clear,-38.3833,142.4833,Lady Bay Resort
598,Sao Benedito Do Rio Preto,BR,72.07,Clouds,-3.3336,-43.5283,João de Barro Hotel
603,Waianae,US,75.15,Clouds,21.4434,-158.1859,Hawaiian Princess Resort
606,Manokwari,ID,82.76,Clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
608,Imbituba,BR,75.09,Clouds,-28.24,-48.6703,Praia Hotel Imbituba
611,Kanniyakumari,IN,83.08,Clouds,8.0833,77.5667,Sparsa
615,Pitimbu,BR,75.79,Clear,-7.4706,-34.8086,Reserva do Abiaí
624,Humberto De Campos,BR,75.06,Clouds,-2.5983,-43.4611,Pousada do Cabeça
626,Hambantota,LK,82.74,Clouds,6.1241,81.1185,Bungalow 63
629,Ivisan,PH,83.77,Clouds,11.5217,122.6908,Green Mountain Resort
634,Lethem,GY,76.24,Clouds,3.3803,-59.7968,Savannah Inn
637,Iralaya,HN,73.24,Clear,15.0,-83.2333,Iglesia morava renovada
641,Tuy Hoa,VN,78.6,Clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
644,Marawi,PH,73.65,Clouds,7.9986,124.2928,Derogongan Residence
